created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2025-02-09T08:05:48+00:00,1,12.838507,77.649086,,,,
2025-02-09T08:20:06+00:00,2,12.838454,77.649040,,,,
2025-02-09T08:30:22+00:00,3,12.838528,77.649109,,,,
2025-02-09T20:40:34+00:00,4,12.838478,77.649078,,,,
2025-02-09T20:41:05+00:00,5,12.838507,77.649010,,,,
2025-02-09T20:48:59+00:00,6,12.838469,77.649132,,,,
2025-02-09T20:54:02+00:00,7,12.838485,77.649124,,,,
2025-02-09T21:20:22+00:00,8,12.838405,77.649132,,,,
2025-02-09T21:26:38+00:00,9,12.838419,77.649094,,,,
2025-02-09T21:31:34+00:00,10,12.838470,77.649239,,,,
2025-02-09T21:33:04+00:00,11,12.838826,77.649399,,,,
2025-02-09T21:34:07+00:00,12,12.838518,77.649162,,,,
2025-02-09T21:36:27+00:00,13,12.838468,77.649155,,,,
2025-02-09T21:49:50+00:00,14,12.838490,77.649178,,,,
2025-02-09T21:52:31+00:00,15,12.838481,77.649094,,,,
2025-02-10T04:24:14+00:00,16,12.838517,77.649223,,,,
2025-02-10T04:34:38+00:00,17,12.838458,77.649269,,,,
2025-02-10T04:40:50+00:00,18,12.838511,77.649155,,,,
2025-02-10T04:41:29+00:00,19,12.838492,77.649170,,,,
2025-02-10T04:43:52+00:00,20,12.838481,77.649002,,,,
2025-02-10T04:54:44+00:00,21,12.838476,77.649208,,,,
2025-02-10T04:55:53+00:00,22,12.838498,77.649139,,,,
2025-02-10T08:05:32+00:00,23,12.839572,77.659729,,,,
2025-02-10T09:04:42+00:00,24,12.838735,77.659645,,,,
2025-02-10T09:20:16+00:00,25,12.838962,77.659851,,,,
